iteration,solved,valid_moves,total_moves
1,True,1201,4241
2,True,39446,128457
3,True,10719,34782
4,True,4550,15171
5,True,2926,10243
6,True,26342,88980
7,True,49069,169338
8,True,45475,152933
9,True,16733,53194
10,True,19915,63885
11,True,74418,242646
12,True,11667,45274
13,True,46120,156883
14,True,31408,101157
15,True,64097,209905
16,True,12343,39856
17,True,26733,89878
18,True,27488,90056
19,True,11857,39888
20,True,35013,112873
21,True,78991,261366
22,True,29224,94233
23,True,27370,88497
24,True,1869,6103
25,True,35630,119278
26,True,22201,71534
27,True,114745,373678
28,True,58056,190660
29,True,14925,52809
30,True,31330,97246
31,True,36051,117334
32,True,23045,74962
33,True,5508,19650
34,True,48558,158351
35,True,16113,52291
36,True,32061,108204
37,True,25820,86346
38,True,27902,87484
39,True,44584,148447
40,True,45821,149184
41,True,31274,103653
42,True,18274,61232
43,True,9842,31531
44,True,22508,74530
45,True,231341,778808
46,True,52182,167436
47,True,37754,121812
48,True,83400,274068
49,True,12444,41658
50,True,92568,301740
51,True,7311,23138
52,True,11744,38678
53,True,11945,38705
54,True,43905,149632
55,True,4206,13922
56,True,33379,108302
57,True,25768,86883
58,True,55432,185732
59,True,2980,10254
60,True,27724,88044
61,True,28876,90925
62,True,13470,43329
63,True,44764,148427
64,True,20148,66987
65,True,34841,111416
66,True,48351,157399
67,True,5849,18776
68,True,14324,45827
69,True,20163,69836
70,True,33081,110477
71,True,23449,76562
72,True,77593,263040
73,True,12322,38660
74,True,42034,135474
75,True,81156,269016
76,True,17460,57168
77,True,73983,236673
78,True,47248,155824
79,True,48438,160754
80,True,47748,155493
81,True,41710,133221
82,True,35655,116263
83,True,21529,69571
84,True,28255,95417
85,True,15041,50510
86,True,39077,128519
87,True,15792,54681
88,True,8178,26772
89,True,54235,177140
90,True,132891,442771
91,True,9674,29779
92,True,63141,207455
93,True,20604,68272
94,True,47721,155304
95,True,162397,546959
96,True,25590,80362
97,True,1124,4371
98,True,20366,68398
99,True,45320,148158
100,True,1840,6468
101,True,67641,223118
102,True,22398,67984
103,True,95862,322805
104,True,8578,29921
105,True,86877,287272
106,True,17156,56552
107,True,11584,38322
108,True,12439,41278
109,True,63739,218111
110,True,15638,51085
111,True,31014,101732
112,True,28452,89762
113,True,24722,82725
114,True,35454,115163
115,True,8135,26843
116,True,36379,116080
117,True,18406,58784
118,True,39981,128146
119,True,13015,43737
120,True,19960,66854
121,True,2838,10041
122,True,16479,57878
123,True,27698,87601
124,True,268491,901679
125,True,45264,148128
126,True,23478,77758
127,True,29526,93606
128,True,18178,61416
129,True,43707,141446
130,True,10906,35485
131,True,17115,52705
132,True,22076,73748
133,True,28967,92623
134,True,4834,17445
135,True,30213,100652
136,True,12201,40017
137,True,6756,22263
138,True,49016,160987
139,True,12196,37925
140,True,52306,171973
141,True,8766,28307
142,True,27736,91452
143,True,22185,71781
144,True,36824,124933
145,True,17298,53337
146,True,9282,30845
147,True,6658,21096
148,True,10882,38496
149,True,44987,153572
150,True,28772,97001
151,True,9522,31795
152,True,32799,106592
153,True,23927,80347
154,True,48638,169647
155,True,1876,6666
156,True,31667,104938
157,True,25699,84180
158,True,20389,63479
159,True,32162,101351
160,True,51272,167581
161,True,49537,173529
162,True,10852,35457
163,True,23032,74221
164,True,39429,130393
165,True,22131,72369
166,True,49379,162857
167,True,23733,76240
168,True,11631,40945
169,True,43037,141303
170,True,181507,612637
171,True,11543,38441
172,True,22014,71438
173,True,2133,6882
174,True,52260,170088
175,True,4433,15274
176,True,6411,21766
177,True,30829,101316
178,True,17522,56398
179,True,93090,303421
180,True,41683,129118
181,True,125521,411019
182,True,56738,191461
183,True,11726,41930
184,True,24088,78510
185,True,16022,53699
186,True,26590,87217
187,True,21757,71458
188,True,13901,46082
189,True,61361,203259
190,True,36950,117982
191,True,28936,95568
192,True,47807,159233
193,True,38434,126771
194,True,14138,44147
195,True,39968,131571
196,True,14860,49672
197,True,25325,82183
198,True,66278,216526
199,True,28734,94998
200,True,37886,126012
201,True,24144,77082
202,True,19180,61677
203,True,38530,127491
204,True,88695,293554
205,True,63107,204262
206,True,3031,10077
207,True,19216,67667
208,True,16607,55877
209,True,12524,43612
210,True,35828,119020
211,True,39271,129765
212,True,32229,104575
213,True,99322,321764
214,True,10674,32487
215,True,24036,77618
216,True,34540,110807
217,True,25304,83879
218,True,9561,31164
219,True,33998,111978
220,True,61654,205174
221,True,3575,12007
222,True,70697,231435
223,True,49237,161599
224,True,32494,111380
225,True,53194,180382
226,True,9497,31747
227,True,21191,68799
228,True,26623,87923
229,True,25786,84992
230,True,8435,27759
231,True,92670,299101
232,True,56404,182181
233,True,60116,197845
234,True,46209,150178
235,True,72143,235230
236,True,30873,102104
237,True,40042,128711
238,True,27404,90266
239,True,4749,15672
240,True,22997,73625
241,True,37765,128294
242,True,120431,397548
243,True,6031,19401
244,True,9808,30001
245,True,15182,49338
246,True,15604,51340
247,True,36478,118505
248,True,23694,83183
249,True,16221,50429
250,True,67964,221036
251,True,25060,77869
252,True,2007,6928
253,True,164734,545161
254,True,69076,225361
255,True,10032,34227
256,True,22328,72500
257,True,16978,56337
258,True,94132,319573
259,True,91521,305050
260,True,58275,189384
261,True,1398,4860
262,True,22272,76910
263,True,19328,62476
264,True,57568,188389
265,True,15398,51172
266,True,37283,123546
267,True,52178,169067
268,True,66991,217639
269,True,8437,27907
270,True,19107,62997
271,True,39967,131215
272,True,61394,209300
273,True,15796,51032
274,True,71688,235215
275,True,40630,132695
276,True,154852,516935
277,True,130161,429175
278,True,4459,15300
279,True,20339,66264
280,True,37022,125042
281,True,30955,102719
282,True,49199,164849
283,True,24221,78340
284,True,1967,7491
285,True,4596,17297
286,True,61025,199627
287,True,19746,64677
288,True,18117,57547
289,True,60290,193509
290,True,9689,33137
291,True,17289,53003
292,True,59415,192661
293,True,75050,253369
294,True,95797,320261
295,True,1598,6373
296,True,26433,82298
297,True,25502,81950
298,True,6583,22031
299,True,120016,399832
300,True,2461,8381
301,True,68587,224281
302,True,19121,62265
303,True,114987,376168
304,True,42538,140748
305,True,57880,191589
306,True,50567,163846
307,True,38311,131661
308,True,78722,261436
