iteration,solved,valid_moves,total_moves
1,True,13954,39188
2,True,100635,280572
3,True,16296,47590
4,True,40690,119839
5,True,15972,46971
6,True,6379,21242
7,True,32444,92824
8,True,42450,120855
9,True,36556,101254
10,True,5443,18906
11,True,45916,126785
12,True,7373,22535
13,True,35176,99497
14,True,6773,18689
15,True,17166,46592
16,True,13085,36219
17,True,52451,147135
18,True,27827,77899
19,True,4580,12554
20,True,50840,149646
21,True,92843,254481
22,True,24262,69039
23,True,19153,52596
24,True,29698,83545
25,True,37592,108731
26,True,34258,95010
27,True,32004,85774
28,True,5827,17314
29,True,72860,204916
30,True,4513,13453
31,True,39030,108567
32,True,28456,80380
33,True,49950,139162
34,True,24610,66518
35,True,74309,215703
36,True,32683,96939
37,True,103747,289570
38,True,12771,35469
39,True,60399,164530
40,True,14480,40016
41,True,13957,41656
42,True,25322,72324
43,True,23645,65371
44,True,40674,115739
45,True,8780,24912
46,True,146609,405871
47,True,14878,41606
48,True,5810,17627
49,True,70200,192909
50,True,20992,56609
51,True,28890,80747
52,True,21456,59152
53,True,49180,135677
54,True,42842,124984
55,True,53113,149026
56,True,65793,181917
57,True,22233,62469
58,True,50040,145041
59,True,27315,75891
60,True,23045,66986
61,True,82565,226966
62,True,58728,163525
63,True,50975,149182
64,True,11234,30664
65,True,12467,37862
66,True,5555,16289
67,True,14704,42158
68,True,11360,31398
69,True,39999,109606
70,True,9289,27919
71,True,17902,50653
72,True,12092,33652
73,True,47615,135694
74,True,11048,29870
75,True,58650,165205
76,True,14549,38664
77,True,37404,104137
78,True,9385,26442
79,True,11878,32790
80,True,46671,128404
81,True,10707,31236
82,True,93507,255646
83,True,118026,324386
84,True,47896,136607
85,True,25719,71157
86,True,102354,284505
87,True,19209,54797
88,True,37448,113563
89,True,25149,69685
90,True,4090,11303
91,True,15737,44125
92,True,29680,79389
93,True,30398,85329
94,True,21891,60500
95,True,30684,85337
96,True,3816,10553
97,True,43282,126511
98,True,14095,38936
99,True,24481,72327
100,True,40644,112215
101,True,57030,162441
102,True,12298,35088
103,True,46804,134309
104,True,5601,15732
105,True,59571,165777
106,True,34656,95210
107,True,5135,14639
108,True,94501,260190
109,True,213345,603328
110,True,2771,8308
111,True,26782,80692
112,True,7501,21683
113,True,47388,133433
114,True,80753,227182
115,True,14714,41895
116,True,9829,31174
117,True,7430,19774
118,True,43910,126348
119,True,49911,141141
120,True,100565,280375
121,True,80978,226822
122,True,29389,84463
123,True,16403,45872
124,True,43386,121436
125,True,13097,37924
126,True,7981,22996
127,True,75740,214732
128,True,23402,64190
129,True,13087,36438
130,True,25943,73822
131,True,134942,382753
132,True,39853,112566
133,True,43583,123208
134,True,16142,45936
135,True,12236,34313
136,True,46358,128297
137,True,9593,28371
138,True,98937,271485
139,True,3880,11385
140,True,16960,50203
141,True,24757,69337
142,True,28197,85154
143,True,72984,207304
144,True,9992,31794
145,True,7092,20273
146,True,16407,45324
147,True,25378,71690
148,True,45933,134045
149,True,49669,141320
150,True,8962,25089
151,True,34157,93609
152,True,16155,47819
153,True,81305,227957
154,True,11019,30978
155,True,24376,66569
156,True,35682,103716
157,True,17323,50727
158,True,47301,133206
159,True,70947,195471
160,True,76381,215281
161,True,13547,37785
162,True,22100,64278
163,True,4888,14892
164,True,15171,45071
165,True,48629,135433
166,True,44560,130541
167,True,43797,125082
168,True,31709,87071
169,True,13467,37672
170,True,6832,21010
171,True,36710,102643
172,True,37024,104791
173,True,18421,51329
174,True,21042,56724
175,True,32288,91031
176,True,21060,65001
177,True,18727,50770
178,True,4383,12900
179,True,7234,20377
180,True,18605,53531
181,True,123048,351342
182,True,116248,326542
183,True,55073,153923
184,True,52021,151641
185,True,8758,24742
186,True,14485,40353
187,True,7639,22593
188,True,47981,137169
189,True,15709,44646
190,True,61192,168443
191,True,6995,19719
192,True,15892,47021
193,True,13293,35641
194,True,34675,95695
195,True,20549,58498
196,True,39342,106464
197,True,15825,44633
198,True,19438,56523
199,True,16134,43353
200,True,69115,188693
201,True,33084,91271
202,True,40323,109675
203,True,8288,24871
204,True,7802,21425
205,True,14826,41497
206,True,74269,203684
207,True,9445,28521
208,True,5425,15635
209,True,49823,136180
210,True,17758,50166
211,True,151978,430258
212,True,13310,37224
213,True,86668,240182
214,True,32536,93609
215,True,33300,94041
216,True,47488,135831
217,True,25820,69759
218,True,21990,65993
219,True,7713,21039
220,True,53749,153005
221,True,11414,31583
222,True,24949,69604
223,True,51809,143935
224,True,38143,106750
225,True,22213,65572
226,True,48940,139594
227,True,71892,206452
228,True,6333,18750
229,True,44449,125090
230,True,55035,158980
231,True,52360,151076
232,True,40686,116345
233,True,15212,45910
234,True,39630,110460
235,True,17849,52459
236,True,40552,110622
237,True,37297,107805
238,True,23469,64075
239,True,11919,33582
240,True,14050,39742
241,True,55314,156661
242,True,104018,290813
243,True,22790,62666
244,True,26745,74741
245,True,63566,176311
246,True,64392,174249
247,True,7064,19276
248,True,70783,198884
249,True,35348,95912
250,True,8072,22390
251,True,3304,10244
252,True,103068,283999
253,True,56906,160135
254,True,39471,108708
255,True,11599,33512
256,True,45135,126320
257,True,23207,64717
258,True,10146,28119
259,True,27929,83984
260,True,99983,281082
261,True,6935,19463
262,True,22641,65913
263,True,56415,165488
264,True,15421,43917
265,True,17372,49439
266,True,62257,175054
267,True,9335,25895
268,True,35706,98711
269,True,75250,215851
270,True,89160,250320
271,True,31197,87617
272,True,26530,75464
273,True,9371,26060
274,True,5029,14455
275,True,30776,88879
276,True,107634,304191
277,True,19995,54578
278,True,63653,176433
279,True,50647,143282
280,True,24388,67498
281,True,11396,31652
282,True,46484,132841
283,True,86794,254734
284,True,50417,142398
285,True,13747,38494
286,True,26574,75875
287,True,49962,140233
288,True,103757,287302
289,True,41818,113114
290,True,85518,245453
291,True,27836,76578
292,True,33416,94327
293,True,5547,14812
294,True,7623,20740
295,True,28226,83769
296,True,115571,320038
297,True,42217,115651
298,True,10926,32195
299,True,15177,41757
300,True,11135,32038
301,True,96999,268901
302,True,52176,145252
303,True,60261,165651
304,True,60254,171777
305,True,23343,64361
306,True,53127,149697
307,True,30779,83550
308,True,41408,112611
309,True,26204,74219
310,True,116414,329535
311,True,51602,148243
312,True,8882,25415
313,True,23590,67795
314,True,72031,203228
315,True,23689,67239
316,True,44754,133699
317,True,38457,114401
318,True,51582,145039
319,True,65044,177325
320,True,15782,44456
321,True,35011,97904
322,True,52863,145711
323,True,7805,21377
324,True,25671,72768
325,True,29694,85873
326,True,144289,409661
327,True,19980,59787
328,True,62408,175873
329,True,14873,40986
330,True,48383,138954
331,True,21160,59786
332,True,45683,128222
333,True,49104,141132
334,True,29829,82940
335,True,9764,26585
336,True,39731,107824
337,True,8032,23166
338,True,53332,151068
339,True,82521,224287
340,True,71164,200579
341,True,111147,314720
342,True,63152,174975
343,True,29397,82636
344,True,18672,51036
345,True,20493,55342
346,True,48708,133592
347,True,21422,62616
348,True,46840,131431
349,True,40493,110123
350,True,23880,64952
351,True,35340,103865
352,True,21018,55891
353,True,27001,74215
354,True,33936,93844
355,True,14399,40446
356,True,95790,264464
357,True,16646,49024
358,True,19025,53768
359,True,25593,69087
360,True,72012,200537
361,True,26278,77180
362,True,62675,175492
363,True,61828,168881
364,True,41979,122762
365,True,4247,11780
366,True,33117,92503
367,True,11948,32815
368,True,32406,99899
369,True,47600,135369
370,True,59326,166755
371,True,6096,17442
372,True,25163,67354
373,True,10590,30153
374,True,61092,169349
375,True,45151,125429
376,True,21761,61229
377,True,12026,36218
378,True,5106,16402
379,True,69505,190702
380,True,16465,46493
381,True,40944,112866
382,True,35553,106534
383,True,25612,71806
384,True,13311,36535
385,True,91470,255727
386,True,28215,84758
387,True,83021,236272
388,True,5850,18586
389,True,6920,19825
390,True,75403,214423
391,True,30022,85719
392,True,76310,216306
393,True,10749,31094
394,True,9499,26536
395,True,23250,63880
396,True,7338,20780
397,True,82701,235144
398,True,18689,51200
399,True,15805,44592
400,True,36876,107804
401,True,29438,80566
402,True,81969,231380
403,True,18413,52362
404,True,7289,21241
405,True,59257,164565
406,True,29167,83301
407,True,31926,85652
408,True,6223,18523
409,True,20640,57471
410,True,5627,17544
411,True,15345,42461
412,True,14544,43701
413,True,68889,195480
414,True,9419,27653
415,True,8810,24800
416,True,67163,188201
417,True,7021,19178
418,True,5214,14829
419,True,100990,293009
420,True,54005,146651
421,True,124825,352826
422,True,4384,14783
423,True,27279,77937
424,True,30740,89258
425,True,158557,439837
426,True,69899,199579
427,True,11236,31102
428,True,36624,102048
429,True,6388,17769
430,True,20811,57760
431,True,43525,124179
432,True,42280,124273
433,True,23190,64202
434,True,16897,49226
435,True,44450,118561
436,True,25813,77821
437,True,14877,41447
438,True,51034,141077
439,True,29756,83486
440,True,35753,99670
441,True,36620,103611
442,True,84252,235624
443,True,25809,73007
444,True,25835,72951
445,True,51697,141320
446,True,7897,21243
447,True,9312,27938
448,True,63054,175752
449,True,8462,23106
450,True,54910,154833
451,True,92372,259856
452,True,1858,6062
453,True,11324,31775
454,True,64920,179057
455,True,12136,35257
456,True,29439,78603
457,True,32388,90971
458,True,44159,127053
459,True,24150,70727
460,True,23478,65491
461,True,56746,162340
462,True,70877,199493
463,True,12338,33775
464,True,47663,132890
465,True,48604,132625
466,True,41243,114297
467,True,10190,29057
468,True,19848,54963
469,True,30824,87770
470,True,6869,20155
471,True,144335,396332
472,True,2899,8688
473,True,47171,127188
474,True,9577,27640
475,True,51422,139344
476,True,19669,56887
477,True,35500,100111
478,True,29631,81343
479,True,67122,192661
480,True,17337,50824
481,True,12330,33697
482,True,53644,154535
483,True,4198,12006
484,True,83056,236255
485,True,28666,81686
486,True,22104,66238
487,True,34401,98074
488,True,10707,29842
489,True,6464,22169
490,True,13184,36863
491,True,5574,15283
492,True,16704,49104
493,True,8321,24917
494,True,7021,20823
495,True,88340,251207
496,True,8129,22715
497,True,34144,98227
498,True,63727,178389
499,True,8842,23673
500,True,12393,35789
501,True,31075,86228
502,True,173565,492648
503,True,13892,39285
504,True,12164,35123
505,True,10336,28350
506,True,12420,32937
507,True,7325,20472
508,True,53479,147883
509,True,23109,63857
510,True,22370,62903
511,True,21649,59516
512,True,8342,24012
513,True,5635,15590
514,True,41931,121345
515,True,34518,96872
516,True,19148,53901
517,True,7224,20905
518,True,32041,86941
519,True,71490,199586
520,True,8776,25726
521,True,70575,197667
522,True,32960,92451
523,True,23777,70993
524,True,14338,38416
525,True,71644,196380
526,True,73596,204995
527,True,16288,45672
528,True,46155,134936
529,True,13385,38956
530,True,21635,59930
531,True,22637,64699
532,True,60828,169420
533,True,74406,209394
534,True,29093,84387
535,True,31467,89003
536,True,77533,216040
537,True,70018,199384
538,True,44811,123654
539,True,3540,10111
540,True,12755,35385
541,True,9676,26765
542,True,22972,65550
543,True,15907,44869
544,True,45392,124637
545,True,16030,43337
546,True,38259,108976
547,True,18668,51862
548,True,6327,17649
549,True,52611,147930
550,True,43395,124869
551,True,54043,154345
552,True,97351,278825
553,True,10232,28847
554,True,31481,87544
555,True,10362,30664
556,True,91113,254763
557,True,33834,96653
558,True,35386,99102
559,True,26492,76217
560,True,3204,10583
561,True,19085,52149
562,True,15434,42706
563,True,7608,23847
564,True,46896,131224
565,True,10437,28976
566,True,3862,11279
567,True,14131,40798
568,True,37868,105176
569,True,187842,523229
570,True,59886,167521
571,True,4718,13694
572,True,3769,10481
573,True,11440,34119
574,True,16256,47841
575,True,95912,272792
576,True,14486,41215
577,True,29082,80095
578,True,24058,68262
579,True,16522,47110
580,True,14975,40692
581,True,30628,88482
582,True,12033,35300
583,True,5578,16502
584,True,5559,15750
585,True,15726,42608
586,True,38997,107727
587,True,17661,49962
588,True,16556,45630
589,True,10362,29379
590,True,7634,20789
591,True,3081,9125
592,True,31686,87213
593,True,41622,118954
594,True,7605,23845
595,True,74370,208358
596,True,28053,75052
597,True,6047,17230
598,True,6842,20267
599,True,11230,30894
600,True,12108,34262
601,True,9712,27306
602,True,29796,79350
603,True,2497,7858
604,True,63466,178859
605,True,45175,122721
606,True,23073,65474
607,True,17388,49224
608,True,15539,45208
609,True,83412,229144
610,True,28585,77583
611,True,39829,110599
612,True,12010,34513
613,True,9154,25820
614,True,9766,26582
615,True,18908,54695
616,True,54959,158775
617,True,5303,15935
618,True,30335,86076
619,True,23229,67100
620,True,91292,254482
621,True,51330,148616
622,True,3210,9978
623,True,14497,41012
624,True,28450,85059
625,True,64276,184003
626,True,14526,40997
627,True,157542,444259
628,True,4022,11913
629,True,91971,256278
630,True,31366,86453
631,True,58995,167049
632,True,17077,47311
633,True,23487,65907
634,True,11406,33820
635,True,26572,75199
636,True,56588,163529
637,True,3216,9207
638,True,17859,52593
639,True,21377,61705
