iteration,solved,valid_moves,total_moves
1,True,3751,21048
2,True,36750,204295
3,True,1802,10008
4,True,41961,233178
5,True,4690,25739
6,True,6939,38911
7,True,4515,25510
8,True,3769,21464
9,True,8478,47745
10,True,11871,65501
11,True,1769,9814
12,True,32632,183190
13,True,15110,84693
14,True,1991,11660
15,True,1470,8507
16,True,3771,21136
17,True,21532,122606
18,True,11810,63848
19,True,8575,49311
20,True,15925,88306
21,True,12845,72708
22,True,10137,56767
23,True,1579,10108
24,True,2821,15904
25,True,9048,51924
26,True,49791,277610
27,True,13751,75831
28,True,15956,88737
29,True,20205,111084
30,True,6104,33072
31,True,2510,13945
32,True,23127,129378
33,True,22486,129390
34,True,9433,51654
35,True,4891,27758
36,True,24325,136854
37,True,12401,68890
38,True,10320,55592
39,True,8856,49372
40,True,7767,43423
41,True,6301,35075
42,True,10292,56936
43,True,3654,20341
44,True,22191,123555
45,True,4314,23213
46,True,17446,95528
47,True,7347,41918
48,True,35506,197872
49,True,5572,31551
50,True,18345,102957
51,True,5200,28915
52,True,59308,333387
53,True,21583,120480
54,True,7512,42609
55,True,7717,43651
56,True,9230,50888
57,True,61415,341115
58,True,2700,15154
59,True,2443,14379
60,True,1943,10538
61,True,14869,82714
62,True,1945,11840
63,True,29367,162863
64,True,18993,106435
65,True,1425,7925
66,True,13703,75833
67,True,26462,146061
68,True,11504,62789
69,True,959,6063
70,True,369,2248
71,True,2627,14217
72,True,4107,23146
73,True,2900,15656
74,True,31632,176094
75,True,2196,12046
76,True,6575,35688
77,True,26941,151186
78,True,56956,315812
79,True,6570,37400
80,True,5870,34051
81,True,19744,108888
82,True,15527,86740
83,True,9673,54932
84,True,2133,12452
85,True,2972,16721
86,True,7536,41342
87,True,20499,113890
88,True,19950,112561
89,True,19947,111956
90,True,10955,60204
91,True,1415,7325
92,True,26479,146933
93,True,15212,85050
94,True,57964,323896
95,True,13876,78175
96,True,3755,20633
97,True,1142,7676
98,True,8698,48164
99,True,8063,45044
100,True,3791,20926
